sweep,value,label,method,states,reward_mean,feasible_mean,latency_mean,ppl_mean,energy_mean,max_energy_ratio_mean,runtime_mean
snr_threshold,5.0,5,block_beam_strong,24,-0.24270345187689055,1.0,2.391266094670296,31.08750253903598,641.167349559165,0.13979879027168904,0.38091847084191005
snr_threshold,5.0,5,block_lns_strong,24,-0.2381666011517658,1.0,2.346027303997872,31.086503332924583,629.5201607676662,0.13721435086638958,0.07753362498867016
snr_threshold,5.0,5,hybrid_heuristic,24,-0.2381666011517658,1.0,2.346027303997872,31.086503332924583,629.5201607676662,0.13721435086638958,0.01455992498085834
snr_threshold,8.0,8,autoreg_rl_pure,24,-0.25465945502953796,1.0,2.3426654879655184,32.382843033987086,628.4279494556373,0.13704201278968395,0.10824578336905688
snr_threshold,8.0,8,block_beam_strong,24,-0.26716337922415234,1.0,2.4622543397126067,32.42482736047622,661.2281301882886,0.14469588521505672,0.39067902916576713
snr_threshold,8.0,8,block_lns_strong,24,-0.25611823323324084,1.0,2.3525438045873357,32.419120020837646,631.0887751644333,0.13757585874581746,0.07727400416236681
snr_threshold,8.0,8,hybrid_heuristic,24,-0.25611823323324084,1.0,2.3525438045873357,32.419120020837646,631.0887751644333,0.13757585874581746,0.014705058361869305
snr_threshold,10.0,10,autoreg_rl_pure,24,-0.2871235702361541,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.13787634682272795,0.11716617500254263
snr_threshold,10.0,10,block_beam_strong,24,-0.30096894214737485,1.0,2.4913586316294696,34.80467785583139,669.1119166144264,0.1464450717901943,0.37938450832734816
snr_threshold,10.0,10,block_lns_strong,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.07658617082051933
snr_threshold,10.0,10,hybrid_heuristic,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.014761579193873331
snr_threshold,12.0,12,autoreg_rl_pure,24,-0.344245608661298,1.0,2.3909833841003194,38.91146715146514,641.2369354893768,0.13970311248351194,0.1408041541581042
snr_threshold,12.0,12,block_beam_strong,24,-0.3611211322200712,1.0,2.5142006769872363,39.262245680005286,675.1230101919399,0.14776126566511477,0.4212865583443393
snr_threshold,12.0,12,block_lns_strong,24,-0.3488280865346886,1.0,2.4020096545484266,39.17951987426998,644.4131883803994,0.14049375484678706,0.08536273749389996
snr_threshold,12.0,12,hybrid_heuristic,24,-0.3488280865346886,1.0,2.4020096545484266,39.17951987426998,644.4131883803994,0.14049375484678706,0.014701820822665468
snr_threshold,16.0,16,autoreg_rl_pure,24,-0.5809204744471468,1.0,2.4298677304369756,56.84299346572078,651.5869874870772,0.14195377392613334,0.16895110000041313
snr_threshold,16.0,16,block_beam_strong,24,-0.6139047528737641,1.0,2.5688960523311493,58.312836246603126,689.8579437659765,0.15101896496683254,0.39208579166249063
snr_threshold,16.0,16,block_lns_strong,24,-0.6033090273620235,1.0,2.5093291543103975,57.95549157454081,674.2696103588793,0.1475218338095172,0.07909304997883737
snr_threshold,16.0,16,hybrid_heuristic,24,-0.6033090273620235,1.0,2.5093291543103975,57.95549157454081,674.2696103588793,0.1475218338095172,0.014986416693621626
latency_ref_s,3.0,3,autoreg_rl_pure,24,-0.5228170903642751,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.13787634682272795,0.11282230414023313
latency_ref_s,3.0,3,block_beam_strong,24,-0.5493628594665863,1.0,2.4811992546191632,34.904041060568765,666.2976098780681,0.14580436127441815,0.36951937914515537
latency_ref_s,3.0,3,block_lns_strong,24,-0.5268418461938378,1.0,2.3702122331455358,34.87911347833716,635.8091790573895,0.138594998040061,0.0736833750270307
latency_ref_s,3.0,3,hybrid_heuristic,24,-0.5268418461938378,1.0,2.3702122331455358,34.87911347833716,635.8091790573895,0.138594998040061,0.01347229169914499
latency_ref_s,4.5,4.5,autoreg_rl_pure,24,-0.36568807694552774,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.13787634682272795,0.11235887914275129
latency_ref_s,4.5,4.5,block_beam_strong,24,-0.3838698868461867,1.0,2.482679608129234,34.88269841590721,666.6342492229496,0.14592886875329275,0.36909689581564936
latency_ref_s,4.5,4.5,block_lns_strong,24,-0.36876382097479077,1.0,2.3718112052960345,34.85777058854476,636.172745816444,0.13873080597525947,0.07136068752151914
latency_ref_s,4.5,4.5,hybrid_heuristic,24,-0.36876382097479077,1.0,2.3718112052960345,34.85777058854476,636.172745816444,0.13873080597525947,0.013449545833282173
latency_ref_s,6.0,6,autoreg_rl_pure,24,-0.2871235702361541,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.13787634682272795,0.11625066668299648
latency_ref_s,6.0,6,block_beam_strong,24,-0.30096894214737485,1.0,2.4913586316294696,34.80467785583139,669.1119166144264,0.1464450717901943,0.36899062078252126
latency_ref_s,6.0,6,block_lns_strong,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.07753255833328392
latency_ref_s,6.0,6,hybrid_heuristic,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.015149012489321953
latency_ref_s,7.5,7.5,autoreg_rl_pure,24,-0.23986992906688406,1.0,2.366088517835307,34.70837260238735,634.677515678016,0.13828718790079228,0.12180569577806939
latency_ref_s,7.5,7.5,block_beam_strong,24,-0.25114176951478545,1.0,2.4913586316294696,34.80467785583139,669.1119166144264,0.1464450717901943,0.38717173332891736
latency_ref_s,7.5,7.5,block_lns_strong,24,-0.24212210992658542,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.07928244165183666
latency_ref_s,7.5,7.5,hybrid_heuristic,24,-0.24212210992658542,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.015036029178493967
latency_ref_s,9.0,9,autoreg_rl_pure,24,-0.2083220821624133,1.0,2.366088517835307,34.70837260238735,634.677515678016,0.13828718790079228,0.11411194166673037
latency_ref_s,9.0,9,block_beam_strong,24,-0.2179236544263925,1.0,2.4913586316294696,34.80467785583139,669.1119166144264,0.1464450717901943,0.3689350583396542
